placement_id,front_json,rank,support_name,category_id,sphere_radius,clearance,pos_x,pos_y,pos_z,surface_z,viable,source_csv
7,0c0431b0-fbbf-415e-aa86-5aaee0815805.json,2,Tea Table,3,3.0000,13.0766,-57.0839,-8.1123,35.2764,35.0764,True,prescan_batch_0000.csv
8,07f296b5-8bfe-4525-84b3-c4f31b85d22b.json,0,table,36,3.0000,11.9310,-21.4405,-48.0094,35.2764,35.0764,True,prescan_batch_0000.csv
9,cec93e6e-888a-4e2d-a6b6-870d764f35d6.json,0,Tea Table.001,3,3.0000,11.8000,29.4129,-32.0517,35.2764,35.0764,True,prescan_batch_0005.csv
11,00808820-c206-4cc8-98a5-6b7d2ff364af.json,2,table.001,36,3.0000,11.0951,-28.4721,14.1391,35.2764,35.0764,True,prescan_batch_0000.csv
12,acea7e3d-ffe9-49b8-96af-a54e53e5f8a8.json,1,Tea Table,3,3.0000,11.0519,-34.5809,35.5543,35.2764,35.0764,True,prescan_batch_0004.csv
13,cf94fa93-585e-4b9c-b07e-ba982d22cc79.json,1,Tea Table,3,3.0000,10.7135,-21.2238,-54.2595,35.2764,35.0764,True,prescan_batch_0005.csv
14,0a9f5311-49e1-414c-ba7b-b42a171459a3.json,1,table.011,36,3.0000,10.0183,-50.1052,30.0599,35.2764,35.0764,True,prescan_batch_0000.csv
15,5f730139-4d72-453f-b4e0-e8861590dbfd.json,7,Cabinet.039,48,3.0000,9.9677,-41.7737,-2649.2690,1.0000,0.8000,True,prescan_batch_0002.csv
16,667e9ce4-3087-40d8-97a8-2b45a6800093.json,2,Tea Table,3,3.0000,9.8780,-57.2039,-4.2694,35.2764,35.0764,True,prescan_batch_0002.csv
17,6f377015-c4c1-4e89-bda1-57b02744fd6d.json,1,table.002,36,3.0000,9.6640,-20.4949,-47.2576,35.2764,35.0764,True,prescan_batch_0002.csv
18,fbb5e9c8-a731-4c49-9a11-176820219861.json,2,table,36,3.0000,9.5731,-1.6768,-71.5131,35.2764,35.0764,True,prescan_batch_0006.csv
19,d8a14c3b-6bd7-49e7-a3d8-8eb69cb74270.json,0,Tea Table,3,3.0000,9.4708,-74.7633,35.2840,35.2764,35.0764,True,prescan_batch_0005.csv
20,0f039b8c-53ee-47cb-b4c9-58ba9a0141b9.json,3,Tea Table.001,3,3.0000,9.3502,35.3161,58.6757,35.2764,35.0764,True,prescan_batch_0000.csv
21,3fbfce0d-b385-4543-ba82-aabb03c1399e.json,0,table.002,36,3.0000,9.3214,40.5017,18.3244,35.2764,35.0764,True,prescan_batch_0001.csv
22,5738a0e6-b70a-46b1-bf0b-883209231ce8.json,0,table.002,36,3.0000,8.5976,23.6124,-17.5207,35.2764,35.0764,True,prescan_batch_0002.csv
23,0446844d-66c4-4f8f-8b0f-69048e6c2d8c.json,1,Tea Table.003,3,3.0000,7.6948,-35.8320,19.7556,35.2764,35.0764,True,prescan_batch_0000.csv
24,88136113-6ea9-431e-b7f7-ec53b286ae81.json,1,Tea Table,3,3.0000,7.6934,37.0636,17.6375,35.2764,35.0764,True,prescan_batch_0003.csv
25,4ed421c9-f5d9-4b17-9769-371ea078f6f5.json,0,Cabinet.095,48,3.0000,7.3112,0.8015,-17.5621,0.2000,0.0000,True,prescan_batch_0002.csv
26,a065a8b5-2593-489b-949f-9334f982dddb.json,1,table.008,36,3.0000,7.2473,49.8470,-17.6691,35.2764,35.0764,True,prescan_batch_0004.csv
27,5130545c-cb6d-4547-b120-5815531c8589.json,1,table.007,36,3.0000,6.9988,30.7058,-1.9664,30.5758,30.3758,True,prescan_batch_0002.csv
28,1f870eb0-9894-42b3-9576-e33a111bc265.json,0,table.001,36,3.0000,5.8956,-12.0210,-26.5115,35.2764,35.0764,True,prescan_batch_0000.csv
29,46d37cd0-5b76-4fdd-ad97-efc7ea3ef346.json,1,Tea Table.001,3,3.0000,5.7398,31.1171,46.7436,35.2764,35.0764,True,prescan_batch_0001.csv
30,d575f48e-3268-4e38-90e0-53f47168c303.json,9,Cabinet.077,48,3.0000,5.5909,3.8224,-12459.6052,1.0000,0.8000,True,prescan_batch_0005.csv
31,39cc2839-b317-41cc-90fe-c829d91c800b.json,0,Tea Table,3,3.0000,4.4321,14.9998,19.8300,35.2764,35.0764,True,prescan_batch_0001.csv
32,834d357f-00fa-46b1-b73a-8120c46ecaef.json,0,table.008,36,3.0000,4.3331,45.9617,4.2685,35.2764,35.0764,True,prescan_batch_0003.csv
33,aedb13db-b413-472d-a50e-81017caba93b.json,0,table.001,36,3.0000,3.9950,41.6372,-37.5482,35.2764,35.0764,True,prescan_batch_0004.csv
34,30676bda-6d34-4efc-a32d-3f13f19ba2d7.json,0,Tea Table,3,3.0000,3.9794,-25.5237,-62.7080,35.2764,35.0764,True,prescan_batch_0001.csv
36,83ecfed1-fa86-410e-bba8-37fe041bce65.json,0,Cabinet.009,48,3.0000,3.8770,-0.4657,-7.5889,0.9800,0.7800,True,prescan_batch_0003.csv
37,42dac4e2-8940-4ea3-9039-030961b73776.json,0,Tea Table,3,3.0000,3.6579,-6.5841,44.6649,35.2764,35.0764,True,prescan_batch_0001.csv
38,a10cedae-8ecc-4ef9-aaaa-e2fb5fb8b5c4.json,0,Cabinet.035,48,1.5115,1.6615,3.5345,-6.6997,2.4000,2.2000,True,prescan_batch_0004.csv
39,2eabbe77-5762-4c0a-98e5-3d319637a210.json,0,Cabinet.080,48,1.2292,1.3792,0.8895,2.7240,0.2000,0.0000,True,prescan_batch_0001.csv
40,a7afbf56-39fd-4269-b8f9-9f56938acda6.json,0,Cabinet.080,48,1.1794,1.3294,0.9181,2.6766,0.2000,0.0000,True,prescan_batch_0004.csv
41,1d611ea0-440f-429e-aec2-840708b60211.json,0,Cabinet.001,48,1.1611,1.3111,-11.1914,2.5269,0.9950,0.7950,True,prescan_batch_0000.csv
42,4fad04b4-6651-41ff-bacc-b96090d4d66e.json,0,Cabinet.035,48,1.0771,1.2271,3.5110,-6.2731,2.4000,2.2000,True,prescan_batch_0002.csv
43,cdbd5318-ba1d-423a-b290-40442fd842df.json,0,cabinet.001,48,1.0370,1.1870,2.5317,-4.2242,1.2188,1.0188,True,prescan_batch_0005.csv
44,fc20b1fa-5b64-4821-bbf6-075a7d35741b.json,0,Cabinet.254,48,1.0319,1.1819,-6.0613,-2.5671,1.6850,1.4850,True,prescan_batch_0006.csv
